author,comment,published_at
@mahadevrabari2256,Hii,2024-06-11T08:55:42Z
@maulikbhai3534,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=567"">9:27</a> 😂😂😂",2024-06-10T19:33:17Z
@abhijeetvk5194,00.50 Jetha Aatankwadi 😂😂,2024-04-09T20:07:39Z
@smith00793,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=1000"">16:40</a> kyunki Taj Mahal Agra me hai… agar Bihar me hota to Taj Mahal kwal history ki kitaab me milta 😂",2024-04-02T10:37:07Z
@Jitender-vh2sc,Meri kya galti jetha bhai,2024-03-31T16:26:29Z
@ravisolanki324,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=326"">5:26</a> 😂😂😂😂",2024-03-30T04:02:05Z
@user-iw5gn2gv3d,Jo look samaaj nahi raha he RedCerry konssa mobile he konssa compaany ka mobile he jo Tarak Meheta Ka Olta Chasma ka is episod me dikharahatha to maai un saab ko batadu jo nahi jantte jinlogoone ye mobile ka campaany ka naam hi is show me peheli baar suna to ye he BlackBerry ka Jethalal verson he jo shif Jethalal ke Gada Electronics shop pe hi milega pure Bharat me or kahi nahi milega kahi nahi Pure Indiiame shif..,2024-03-28T20:14:12Z
@MukeshPandor-ic5nt,🙂🙂🙂😆😀,2024-03-25T10:57:37Z
@rishi8638,The worst acting I have seen is Daya..so overrated acting,2024-03-18T07:13:10Z
@rjkumar2265,Ab bolo bolo kya bolo,2024-03-18T06:56:41Z
@Terminal569,Daya bhahi aise react karti hai jaise Sundar ne topi pahnana hi nhi,2024-03-09T12:33:29Z
@user-ok2tt3bd7n,लाजवाब सीरियल है ❤❤❤❤❤,2024-01-14T17:02:06Z
@mdzafarmdzafar5106,Sunder Tera jija jetha h.isliye...koi aur insan hota..to sunder..tujhe itna bolne nahi deta,2024-01-10T08:36:14Z
@sarbjitsingh612,Nice jethalal ji,2023-12-19T13:44:24Z
@tot680,Ji ha sunder sor natak mat karo itna,2023-12-10T15:21:48Z
@user-tv8dl4is5c,😅😅😅,2023-11-05T14:34:42Z
@marwadistatus-sr9yf,",😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",2023-10-30T09:15:09Z
@user-rl3mw6dl7x,This episode must be get Oscar award,2023-10-07T17:27:49Z
@monishkhan7732,😂😂😂😂,2023-10-03T16:27:47Z
@b_laclegitgaming531,Ab aise story dekhanok nahi malti😅😅 best seen list for tmkoc history 😅 of this episode 😅,2023-10-02T12:53:38Z
@ravikumarravi378,osm,2023-09-29T04:17:36Z
@ravikumarravi378,nic,2023-09-29T04:17:26Z
@jeetublackofficial6746,Jethalal SAB ki band Baja deta hai lekin apne sale se kabhi nahin Jeet pata hai,2023-08-08T15:26:36Z
@AjitKumar-zh3kz,🤣🤣🤣🤣🤣👼,2023-07-16T15:20:30Z
@arifahamad4381,Ye panoti kon hai ..😅😅😅😅,2023-07-13T17:25:19Z
@jhonburagohain78,Mai. Ban jaunga atankwadi 🤣🤣🤣 😝😝💣💣,2023-07-10T05:55:21Z
@omprakash-zs4vm,"<a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=283"">4:43</a> 😂😂😂😂 <a href=""https://www.youtube.com/watch?v=uhqub_Nt0WU&amp;t=296"">4:56</a> 😂😂😂😂😅😅😅😅  bahut funny",2023-06-19T14:51:42Z
@eshana6770,❤❤❤❤I like tarek Mehta ka ooltah chachma,2023-06-02T11:00:48Z
